+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  |
+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|   0 | minecraft:ocean                            | Ocean                   |  0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                                      | village                    |
|   1 | minecraft:plains                           | Plains                  |  0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | PLAINS                                                            | spawn, stronghold, village |
|   2 | minecraft:desert                           | Desert                  |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold, village        |
|   3 | minecraft:extreme_hills                    | Extreme Hills           |  0.20 | MEDIUM   | 0.30 | false | false   | COOL, WARM | HILLS, MOUNTAIN                                                   | stronghold, village        |
|   4 | minecraft:forest                           | Forest                  |  0.70 | MEDIUM   | 0.80 | false | false   | COOL, WARM | FOREST                                                            | spawn, stronghold, village |
|   5 | minecraft:taiga                            | Taiga                   |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | COLD, CONIFEROUS, FOREST                                          | spawn, stronghold, village |
|   6 | minecraft:swampland                        | Swampland               |  0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP, WET                                                        | village                    |
|   7 | minecraft:river                            | River                   |  0.50 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                                      |                            |
|   8 | minecraft:hell                             | Hell                    |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER                                                  | stronghold                 |
|   9 | minecraft:sky                              | The End                 |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, END                                                    | stronghold                 |
|  10 | minecraft:frozen_ocean                     | FrozenOcean             |  0.00 | OCEAN    | 0.50 |  true | true    |            | COLD, OCEAN, SNOWY, WATER                                         | village                    |
|  11 | minecraft:frozen_river                     | FrozenRiver             |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, RIVER, SNOWY, WATER                                         |                            |
|  12 | minecraft:ice_flats                        | Ice Plains              |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, SNOWY, WASTELAND                                            | stronghold, village        |
|  13 | minecraft:ice_mountains                    | Ice Mountains           |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, MOUNTAIN, SNOWY                                             | stronghold, village        |
|  14 | minecraft:mushroom_island                  | MushroomIsland          |  0.90 | MEDIUM   | 1.00 | false | false   |            | MUSHROOM, RARE                                                    | stronghold, village        |
|  15 | minecraft:mushroom_island_shore            | MushroomIslandShore     |  0.90 | MEDIUM   | 1.00 | false | false   |            | BEACH, MUSHROOM, RARE                                             | village                    |
|  16 | minecraft:beaches                          | Beach                   |  0.80 | MEDIUM   | 0.40 | false | false   |            | BEACH                                                             |                            |
|  17 | minecraft:desert_hills                     | DesertHills             |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, SANDY                                            | stronghold                 |
|  18 | minecraft:forest_hills                     | ForestHills             |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS                                                     | spawn, stronghold, village |
|  19 | minecraft:taiga_hills                      | TaigaHills              |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, HILLS                                   | spawn, stronghold, village |
|  20 | minecraft:smaller_extreme_hills            | Extreme Hills Edge      |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN                                                          | stronghold, village        |
|  21 | minecraft:jungle                           | Jungle                  |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                                           | spawn, stronghold, village |
|  22 | minecraft:jungle_hills                     | JungleHills             |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HILLS, HOT, JUNGLE, WET                                    | spawn, stronghold, village |
|  23 | minecraft:jungle_edge                      | JungleEdge              |  0.95 | MEDIUM   | 0.80 | false | false   |            | FOREST, HOT, JUNGLE, RARE, WET                                    | stronghold, village        |
|  24 | minecraft:deep_ocean                       | Deep Ocean              |  0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                                      | village                    |
|  25 | minecraft:stone_beach                      | Stone Beach             |  0.20 | MEDIUM   | 0.30 | false | false   |            | BEACH                                                             | stronghold                 |
|  26 | minecraft:cold_beach                       | Cold Beach              |  0.05 | COLD     | 0.30 |  true | false   |            | BEACH, COLD, SNOWY                                                |                            |
|  27 | minecraft:birch_forest                     | Birch Forest            |  0.60 | MEDIUM   | 0.60 | false | false   | WARM       | BIRCH_TREES, FOREST, THEMED_TREES                                 | stronghold, village        |
|  28 | minecraft:birch_forest_hills               | Birch Forest Hills      |  0.60 | MEDIUM   | 0.60 | false | false   |            | BIRCH_TREES, FOREST, HILLS, THEMED_TREES                          | stronghold, village        |
|  29 | minecraft:roofed_forest                    | Roofed Forest           |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | BIRCH_TREES, DENSE, FOREST, SPOOKY, THEMED_TREES                  | stronghold, village        |
|  30 | minecraft:taiga_cold                       | Cold Taiga              | -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                                   | stronghold, village        |
|  31 | minecraft:taiga_cold_hills                 | Cold Taiga Hills        | -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, HILLS, SNOWY                            | stronghold, village        |
|  32 | minecraft:redwood_taiga                    | Mega Taiga              |  0.30 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MEGA_TAIGA_TREES, THEMED_TREES          | stronghold, village        |
|  33 | minecraft:redwood_taiga_hills              | Mega Taiga Hills        |  0.30 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, HILLS, MEGA_TAIGA_TREES, THEMED_TREES   | stronghold, village        |
|  34 | minecraft:extreme_hills_with_trees         | Extreme Hills+          |  0.20 | MEDIUM   | 0.30 | false | false   |            | FOREST, MOUNTAIN, SPARSE                                          | stronghold, village        |
|  35 | minecraft:savanna                          | Savanna                 |  1.20 | WARM     | 0.00 | false | false   |            | HOT, PLAINS, SAVANNA, SPARSE                                      | stronghold, village        |
|  36 | minecraft:savanna_rock                     | Savanna Plateau         |  1.00 | WARM     | 0.00 | false | false   |            | HOT, PLAINS, RARE, SAVANNA, SPARSE                                | stronghold                 |
|  37 | minecraft:mesa                             | Mesa                    |  2.00 | WARM     | 0.00 | false | false   |            | MESA, SANDY                                                       | stronghold, village        |
|  38 | minecraft:mesa_rock                        | Mesa Plateau F          |  2.00 | WARM     | 0.00 | false | false   |            | MESA, SANDY, SPARSE                                               | stronghold, village        |
|  39 | minecraft:mesa_clear_rock                  | Mesa Plateau            |  2.00 | WARM     | 0.00 | false | false   |            | MESA, SANDY                                                       | stronghold, village        |
|  40 | traverse:autumnal_woods                    | Autumnal Woods          |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST                                                            | spawn, stronghold          |
|  41 | traverse:woodlands                         | Woodlands               |  0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | spawn, stronghold, village |
|  42 | traverse:mini_jungle                       | Mini Jungle             |  0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HOT, JUNGLE, WET                                           | spawn                      |
|  43 | traverse:meadow                            | Meadow                  |  0.80 | MEDIUM   | 0.70 | false | false   | COOL       | LUSH, PLAINS, WET                                                 | spawn, stronghold, village |
|  44 | traverse:green_swamp                       | Lush Swamp              |  0.80 | MEDIUM   | 0.50 | false | false   | WARM       | LUSH, SWAMP, WET                                                  | spawn                      |
|  45 | traverse:red_desert                        | Red Desert              |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, SANDY                                                   | spawn, stronghold, village |
|  46 | traverse:temperate_rainforest              | Temperate Rainforest    |  0.60 | MEDIUM   | 0.90 | false | false   | COOL       | CONIFEROUS, FOREST                                                | spawn, stronghold          |
|  47 | traverse:badlands                          | Badlands                |  0.60 | MEDIUM   | 0.10 | false | false   | WARM       | DRY, HOT, PLAINS, SPARSE                                          | spawn, stronghold, village |
|  48 | traverse:mountainous_desert                | Mountainous Desert      |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, SANDY                                         | spawn, stronghold          |
|  49 | traverse:rocky_plateau                     | Rocky Plateau           |  0.80 | MEDIUM   | 0.20 | false | false   | WARM       | HOT, MOUNTAIN                                                     | spawn, stronghold, village |
|  50 | traverse:forested_hills                    | Forested Hills          |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | spawn, stronghold          |
|  51 | traverse:birch_forested_hills              | Birch Forested Hills    |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | spawn, stronghold          |
|  52 | traverse:autumnal_wooded_hills             | Autumnal Wooded Hills   |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | spawn, stronghold          |
|  53 | traverse:cliffs                            | Cliffs                  |  0.40 | MEDIUM   | 1.20 | false | false   | COOL       | COLD, HILLS, MOUNTAIN                                             | spawn, stronghold          |
|  54 | traverse:glacier                           | Glacier                 |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | spawn, stronghold          |
|  55 | traverse:glacier_spikes                    | Glacier Spikes          |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | spawn, stronghold          |
|  56 | traverse:snowy_coniferous_forest           | Snowy Coniferous Forest |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                                   | spawn, stronghold          |
|  57 | traverse:lush_hills                        | Lush Hills              |  0.50 | MEDIUM   | 0.80 | false | false   | COOL       | HILLS, LUSH, SPARSE, WET                                          | spawn, stronghold, village |
|  58 | traverse:canyon                            | Canyon                  |  1.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, DRY                                                         | spawn, stronghold          |
|  59 | traverse:crag_cliffs                       | Crag Cliffs             |  0.40 | MEDIUM   | 0.00 | false | false   | COOL       | COLD, DEAD                                                        | spawn, stronghold          |
|  60 | traverse:desert_shrubland                  | Desert Shrubland        |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, DRY, HOT, SANDY                                             | spawn, stronghold, village |
|  61 | traverse:thicket                           | Thicket                 |  0.80 | MEDIUM   | 0.30 | false | false   | WARM       | DENSE, FOREST                                                     | spawn, stronghold          |
|  62 | traverse:arid_highland                     | Arid Highland           |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HILLS, HOT, MOUNTAIN, SPARSE                                 | spawn, stronghold, village |
|  63 | traverse:rocky_plains                      | Rocky Plains            |  0.90 | MEDIUM   | 0.70 | false | false   | COOL       | HILLS, PLAINS, SPARSE                                             | spawn, stronghold, village |
|  64 | ariente:ariente_plains                     | Ariente Plains          |  0.80 | MEDIUM   | 0.40 | false | false   |            | SPARSE                                                            | stronghold                 |
|  65 | ariente:ariente_forest                     | Ariente Forest          |  0.80 | MEDIUM   | 0.40 | false | false   |            | FOREST                                                            | stronghold                 |
|  66 | ariente:ariente_hills                      | Ariente Hills           |  0.80 | MEDIUM   | 0.40 | false | false   |            | HILLS                                                             | stronghold                 |
|  67 | ariente:ariente_rough                      | Ariente Rough           |  0.80 | MEDIUM   | 0.40 | false | false   |            | DEAD, HILLS                                                       | stronghold                 |
|  68 | ariente:ariente_ocean                      | Ariente Ocean           |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD, OCEAN, WATER                                                |                            |
| 127 | minecraft:void                             | The Void                |  0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                                              | stronghold                 |
| 129 | minecraft:mutated_plains                   | Sunflower Plains        |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                                      | stronghold, village        |
| 130 | minecraft:mutated_desert                   | Desert M                |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                                             | stronghold                 |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M         |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold, village        |
| 132 | minecraft:mutated_forest                   | Flower Forest           |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                                               | stronghold, village        |
| 133 | minecraft:mutated_taiga                    | Taiga M                 |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE                          | stronghold, village        |
| 134 | minecraft:mutated_swampland                | Swampland M             |  0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                                           | village                    |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes       |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                                          | stronghold, village        |
| 149 | minecraft:mutated_jungle                   | Jungle M                |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET                           | stronghold, village        |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M            |  0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                                  | stronghold, village        |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M          |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE, SUPER_BIRCH_TREES, THEMED_TREES       | stronghold, village        |
